tweet_userid,tweet_date,tweet_texts,tweet_links,tweet_hastags,tweet_blob
cemaphoenix,4:56 PM - 6 Jul 2015,"Congratulations, #USA!!!    
@USSoccer_WNT! #FIFAWWC pic.twitter.com/q1NBdIBhtY",,#USA!!! ; #FIFAWWC,congratulations usa ussoccer_wnt fifawwc  bdibhty
MissyMiel,4:48 PM - 6 Jul 2015,#FIFAWWC Goal of the Tournament: my choice is Carli Lloyd 3rd goal #JPN vs #USA but  N'guessan goal is right behind #CIV vs #NOR,,#FIFAWWC ; #JPN ; #USA ; #CIV ; #NOR, fifawwc goal of the tournament my choice is carli lloyd  d goal jpn vs usa but n guessan goal is right behind civ vs nor
SaraAlcid,4:44 PM - 6 Jul 2015,Tell #FIFA Exec. Committee - #EqualPay for Equal Play! http://action.momsrising.org/sign/EqualPlay?source=tw … #LevelThePlayingField #SheBelieves #FIFAWWC #USA,http://action.momsrising.org/sign/EqualPlay?source=tw,#FIFA ; #EqualPay ; #LevelThePlayingField ; #SheBelieves ; #FIFAWWC ; #USA,tell fifa exec committee equalpay for equal play leveltheplayingfield shebelieves fifawwc usa
JanManimoi,4:34 PM - 6 Jul 2015,"""@BBCSport: #USA - World Cup winners.

Get the full lowdown: http://bbc.in/1NJstBP  #FIFAWWC pic.twitter.com/U2Qc6XgfRE""",http://bbc.in/1NJstBP,#USA ; #FIFAWWC, bbcsport usa world cup winners get the full lowdown fifawwc  xgfre 
aftncanada,4:33 PM - 6 Jul 2015,"ICYMI, here's our photos from yesterday's #FIFAWWC final at BC Place (Warning - lots of happy #USA people!) https://www.flickr.com/photos/aftncanada/sets/72157653182198964 …",https://www.flickr.com/photos/aftncanada/sets/72157653182198964,#FIFAWWC ; #USA,icymi here s our photos from yesterday s fifawwc final at bc place warning lots of happy usa people 
HayesCreech,4:23 PM - 6 Jul 2015,Nice @chicagotribune piece w/ Chicagoland reactions to 4 #crs07 winning #FIFAWWC w/ the #USA: http://chicagotribune.com/sports/soccer/ct-red-stars-world-cup-20150706-story.html … pic.twitter.com/YIsvXvd5ms,http://chicagotribune.com/sports/soccer/ct-red-stars-world-cup-20150706-story.html,#crs07 ; #FIFAWWC ; #USA:,nice chicagotribune piece w chicagoland reactions to 4   winning fifawwc w the usa  ms
HayesCreech,4:09 PM - 6 Jul 2015,Who has #letour on TV in the #USA? I was cought up in #FIFAWWC and forgot that even started.,,#letour ; #USA? ; #FIFAWWC,who has letour on tv in the usa i was cought up in fifawwc and forgot that even started 
dhkeller,3:59 PM - 6 Jul 2015,The day after #FIFAWWC... comments from the always-classy #Nadeshiko #JPN. Focused on development & mental fortitude. http://en.fifa.com/womensworldcup/news/y=2015/m=7/news=pride-and-lament-for-dethroned-queens-2661343.html?cid=twitter_button …,http://en.fifa.com/womensworldcup/news/y=2015/m=7/news=pride-and-lament-for-dethroned-queens-2661343.html?cid=twitter_button,#FIFAWWC... ; #Nadeshiko ; #JPN.,the day after fifawwc comments from the always classy nadeshiko jpn focused on development mental fortitude 
dhkeller,3:48 PM - 6 Jul 2015,"Goals made. Records broken. Job well done ladies!
#FIFAWWC #USA
Read about it here: http://fifa.to/1ClxP55  pic.twitter.com/O3H1zENQrf",http://fifa.to/1ClxP55,#FIFAWWC ; #USA,goals made records broken job well done ladies fifawwc usa read about it here  zenqrf
chicagoredstars,3:36 PM - 6 Jul 2015,This advert is the perfect tribute to England's women's football team http://i100.io/izRbifW  #FIFAWWC #Lionesses #ENG,http://i100.io/izRbifW,#FIFAWWC ; #Lionesses ; #ENG,this advert is the perfect tribute to england s women s football team fifawwc lionesses eng
